"Birmingham"

"Estimated Background Air Pollution Maps (base year 2021), downloaded from https://uk-air.defra.gov.uk/data/laqm-background-home.  Total annual mean concentrations based on 1 km x 1 km grid squares are provided. For further information please refer to the LAQM Support Helpdesk at https://laqm.defra.gov.uk/helpdesk/laqm-helpdesk.html "

Concentrations are as ug.m-3 NO2
Local_Auth_Code,x,y,geo_area,EU_zone_agglom_01,Total_NO2_25
E08000025,406500,284500,6,2,14.81252
E08000025,407500,284500,6,2,14.57393
E08000025,408500,284500,6,2,15.18993
E08000025,409500,284500,6,2,16.35719
E08000025,410500,284500,6,2,16.74842
E08000025,411500,284500,6,2,16.94521
E08000025,412500,284500,6,2,14.5997
E08000025,413500,284500,6,2,13.75259
E08000025,414500,284500,6,2,13.639709999999999
E08000025,415500,284500,6,2,14.13773
E08000025,416500,284500,6,2,16.63462
E08000025,399500,283500,6,35,11.6827
E08000025,400500,283500,6,35,10.93348
E08000025,401500,283500,6,2,11.02161
E08000025,402500,283500,6,2,11.20782
E08000025,403500,283500,6,2,13.06427
E08000025,404500,283500,6,2,19.56424
E08000025,405500,283500,6,2,14.059
E08000025,406500,283500,6,2,13.18258
E08000025,407500,283500,6,2,13.83089
E08000025,408500,283500,6,2,13.47324
E08000025,409500,283500,6,2,14.1369
E08000025,410500,283500,6,2,14.92353
E08000025,411500,283500,6,2,14.41939
E08000025,412500,283500,6,2,13.68371
E08000025,399500,282500,6,2,10.8681
E08000025,400500,282500,6,2,10.91015
E08000025,401500,282500,6,2,10.83329
E08000025,402500,282500,6,2,10.99397
E08000025,403500,282500,6,2,12.04642
E08000025,404500,282500,6,2,14.04146
E08000025,405500,282500,6,2,13.21186
E08000025,406500,282500,6,2,12.30159
E08000025,407500,282500,6,2,13.01941
E08000025,408500,282500,6,2,12.6703
E08000025,409500,282500,6,2,12.6847
E08000025,410500,282500,6,2,14.00803
E08000025,411500,282500,6,2,13.04867
E08000025,412500,282500,6,2,12.55028
E08000025,399500,281500,6,2,10.34059
E08000025,400500,281500,6,2,9.783667
E08000025,401500,281500,6,2,10.45483
E08000025,402500,281500,6,2,10.95033
E08000025,403500,281500,6,2,11.59205
E08000025,404500,281500,6,2,12.94801
E08000025,405500,281500,6,2,12.98881
E08000025,406500,281500,6,2,12.58044
E08000025,407500,281500,6,2,12.81848
E08000025,408500,281500,6,2,12.01412
E08000025,409500,281500,6,2,11.90786
E08000025,410500,281500,6,2,12.50422
E08000025,411500,281500,6,2,11.92368
E08000025,400500,280500,6,35,9.167292
E08000025,401500,280500,6,2,10.15577
E08000025,402500,280500,6,2,11.09651
E08000025,403500,280500,6,2,11.22742
E08000025,404500,280500,6,2,12.32891
E08000025,405500,280500,6,2,13.95571
E08000025,406500,280500,6,2,12.37484
E08000025,407500,280500,6,2,11.99723
E08000025,408500,280500,6,2,11.3964
E08000025,409500,280500,6,2,11.18751
E08000025,410500,280500,6,2,11.33419
E08000025,411500,280500,6,2,11.58118
E08000025,400500,279500,6,35,9.075562
E08000025,401500,279500,6,2,10.41059
E08000025,402500,279500,6,2,11.03097
E08000025,403500,279500,6,2,11.44056
E08000025,404500,279500,6,2,17.15512
E08000025,405500,279500,6,2,14.71362
E08000025,406500,279500,6,2,12.03019
E08000025,407500,279500,6,2,11.73273
E08000025,408500,279500,6,2,11.27604
E08000025,409500,279500,6,2,11.12981
E08000025,410500,279500,6,2,10.92129
E08000025,398500,278500,6,35,8.759424
E08000025,399500,278500,6,2,9.168885
E08000025,400500,278500,6,2,9.663212
E08000025,401500,278500,6,2,10.51827
E08000025,402500,278500,6,2,10.56356
E08000025,403500,278500,6,2,10.82786
E08000025,404500,278500,6,2,11.43912
E08000025,405500,278500,6,2,11.38399
E08000025,406500,278500,6,2,10.35056
E08000025,407500,278500,6,2,10.58101
E08000025,408500,278500,6,2,10.27754
E08000025,399500,277500,6,2,9.378736
E08000025,400500,277500,6,2,9.691504
E08000025,401500,277500,6,2,10.07655
E08000025,402500,277500,6,2,10.19568
E08000025,403500,277500,6,2,11.10814
E08000025,404500,277500,6,2,10.66949
E08000025,400500,276500,6,2,8.81813
