"Birmingham"

"Estimated Background Air Pollution Maps (base year 2021), downloaded from https://uk-air.defra.gov.uk/data/laqm-background-home.  Total annual mean concentrations based on 1 km x 1 km grid squares are provided. For further information please refer to the LAQM Support Helpdesk at https://laqm.defra.gov.uk/helpdesk/laqm-helpdesk.html "

Concentrations are as ug.m-3 NOx as NO2
Local_Auth_Code,x,y,geo_area,EU_zone_agglom_01,Total_NOx_25,Motorway_in_25,Motorway_out_25,Trunk_A_Rd_in_25,Trunk_A_Rd_out_25,Primary_A_Rd_in_25,Primary_A_Rd_out_25,Minor_Rd+Cold_Start_in_25,Minor_Rd+Cold_Start_out_25,Industry_in_25,Industry_out_25,Domestic_in_25,Domestic_out_25,Aircraft_in_25,Aircraft_out_25,Rail_in_25,Rail_out_25,Other_in_25,Other_out_25,Point_Sources_25,Rural_25
E08000025,407500,294500,6,2,19.88561,0,1.726174,0,0.066418,0,1.319816,1.424569,2.597032,0.741665,2.550516,0.505541,1.930202,0,0.038621,0,0.359668,0.233539,1.826995,1.120428,3.444429
E08000025,408500,294500,6,2,18.37,0,1.438245,0,0.064935,0,1.291146,1.055026,2.665337,0.006402,2.759672,0.389155,1.941576,0,0.040217,0,0.365596,0.011511,1.779911,1.116835,3.444429
E08000025,409500,294500,6,2,18.32421,0,1.287279,0,0.065741,0.602303,1.207117,1.0369949999999999,2.566326,0.005093,2.588319,0.461022,1.867859,0,0.044812,0,0.376905,0.019158,1.637186,1.113662,3.444429
E08000025,410500,294500,6,2,17.54152,0,1.163646,0,0.066391,0.295267,1.268403,0.892091,2.520657,0.005029,2.446416,0.374383,1.87017,0,0.053944,0,0.394246,0.038743,1.536668,1.10292,3.512542
E08000025,411500,294500,6,2,17.32795,0,1.079609,0,0.06722,0.393634,1.249124,0.717122,2.504809,0.00507,2.385037,0.364905,1.882534,0,0.068904000000000007,0.02357,0.421236,0.056132,1.479026,1.117473,3.512542
E08000025,412500,294500,6,2,16.53148,0,1.026539,0,0.068414,0.026829,1.183873,0.567914,2.439212,0.006106,2.324009,0.215475,1.872014,0,0.091047,0.116217,0.436546,0.025187,1.486914,1.132648,3.512542
E08000025,413500,294500,6,35,15.83214,0,0.957562,0,0.066803,0,1.012082,0.743024,2.259327,0.01481,2.244373,0.200353,1.702772,0,0.099651,0.008952,0.457579,0.012923,1.378002,1.161384,3.512542
E08000025,414500,294500,6,35,14.91587,0,0.970736,0,0.069679,0,0.974138,0.398095,2.103108,0.019965,2.18591,0.087784,1.563136,0,0.130626,0,0.445514,0.030641,1.34338,1.080612,3.512542
E08000025,415500,294500,6,35,14.27328,0,0.979028,0,0.071757,0.419521,0.958147,0.027465,1.822554,0.029839,2.055572,0.007033,1.375607,0,0.162864,0,0.439001,0.00553,1.303204,1.038083,3.578074
E08000025,416500,294500,6,35,13.33756,0,1.044131,0,0.075849,0,0.95642,0.058655,1.567367,0.026881,1.910169,0.018225,1.222665,0,0.186609,0,0.44647,0.004186,1.260576,0.981277,3.578074
E08000025,405500,293500,6,2,20.39879,0.91053,1.993913,0,0.055674,0.375435,1.401149,1.111304,2.582695,0.005642,2.649928,0.381975,1.941933,0,0.041719,0,0.374451,0.020274,1.986434,1.121307,3.444429
E08000025,406500,293500,6,2,22.10278,3.366987,1.756118,0,0.057905,0,1.441259,0.813727,2.641018,0.005254,2.624098,0.415665,2.022648,0,0.042563,0,0.374334,0.016406,1.946817,1.133553,3.444429
E08000025,407500,293500,6,2,20.35356,0,2.188521,0,0.059954,0,1.425861,1.440317,2.64222,0.006096,2.957048,0.385208,2.071483,0,0.042863,0,0.381213,0.018202,2.091763,1.198379,3.444429
E08000025,408500,293500,6,2,19.75661,0,1.702879,0,0.058967,0.32668,1.341185,0.862615,2.739339,0.212674,2.942158,0.40915,2.040704,0,0.043366,0,0.390537,0.04733,1.959271,1.235325,3.444429
E08000025,409500,293500,6,2,18.59916,0,1.463929,0,0.060151,0.130036,1.347324,0.891133,2.694045,0.006119,2.787842,0.315411,2.032478,0,0.045917,0,0.405335,0.023558,1.77498,1.176474,3.444429
E08000025,410500,293500,6,2,18.38066,0,1.303088,0,0.061217,0.301163,1.313108,0.789371,2.726346,0.006019,2.654214,0.405851,2.009365,0,0.052946,0,0.426321,0.013476,1.650124,1.155498,3.512542
E08000025,411500,293500,6,2,18.55127,0,1.193342,0,0.061939,0.511872,1.335226,1.006195,2.617997,0.005132,2.542586,0.442012,2.000305,0,0.066696,0.02384,0.447667,0.028779,1.578943,1.176192,3.512542
E08000025,412500,293500,6,35,17.24022,0,1.137071,0,0.062967,0,1.321267,0.626,2.544847,0.008149,2.47055,0.17351,1.993476,0,0.089207,0,0.484668,0.013403,1.596532,1.206033,3.512542
E08000025,413500,293500,6,2,17.12327,0,1.062496,0,0.06152,0,1.129589,0.951082,2.292353,0.008274,2.470337,0.332558,1.776621,0,0.100811,0.153014,0.456116,0.017785,1.550731,1.247445,3.512542
E08000025,414500,293500,6,2,16.34826,0,1.07167,0,0.063653,0,1.092141,0.625241,2.178876,0.017783,2.479096,0.168995,1.67594,0,0.136791,0,0.519367,0.051299,1.58418,1.170688,3.512542
E08000025,415500,293500,6,35,15.36115,0,1.090587,0,0.065451,0.409359,1.067673,0.014348,1.989668,0.02749,2.228088,0.00589,1.506203,0,0.17677,0,0.506914,0.002046,1.587893,1.104694,3.578074
E08000025,416500,293500,6,35,14.38425,0,1.179088,0,0.069515,0,1.041016,0.045061,1.73025,0.031811,2.075386,0.006094,1.326718,0,0.207401,0,0.516274,0.003313,1.552229,1.022016,3.578074
E08000025,403500,292500,6,35,17.02048,0,2.132286,0,0.041946,0,1.410943,0.004317,2.285347,0.016723,2.690645,4.81e-4,1.819949,0,0.041182,0.066178,0.345237,0.009467,2.079019,1.148324,2.928439
E08000025,404500,292500,6,2,18.52346,0,1.656508,0,0.046955,0,1.368064,1.009168,2.44564,0.388771,2.651742,0.271846,1.90749,0,0.043092,0.108798,0.355051,0.187337,2.01384,1.140714,2.928439
E08000025,405500,292500,6,2,19.63155,0,1.674706,0,0.049468,0.222303,1.374992,0.977691,2.625614,0.067232,2.714967,0.259008,2.032019,0,0.045032,0.060381,0.399408,0.613731,1.939034,1.131528,3.444429
E08000025,406500,292500,6,2,20.92122,1.68845,1.723441,0,0.051315,0.294305,1.528985,0.454199,2.70905,0.005132,2.825879,0.283282,2.139709,0,0.046807,0,0.409878,0.095902,2.114652,1.10581,3.444429
E08000025,407500,292500,6,2,25.94442,2.770596,1.732448,0,0.053166,0.611474,1.530973,0.669369,2.703702,2.387986,2.598114,0.274159,2.185394,0,0.048023,0,0.410105,1.024591,2.11619,1.383703,3.444429
E08000025,408500,292500,6,2,20.51259,0,2.230936,0,0.052616,0.17553,1.527071,0.634882,2.733404,0.005701,3.128179,0.254475,2.150689,0,0.048539,0,0.42364,0.009523,2.272627,1.420353,3.444429
E08000025,409500,292500,6,2,19.5732,0,1.841564,0,0.053824,0,1.444908,0.904652,2.74091,0.006066,2.932321,0.317022,2.139036,0,0.049473,0,0.444918,0.011047,1.953461,1.289567,3.444429
E08000025,410500,292500,6,2,19.68928,0,1.522452,0,0.055036,0,1.512079,1.287348,2.738211,0.006517,2.813401,0.465579,2.14495,0,0.053691,0.009202,0.471493,0.020462,1.790708,1.285599,3.512542
E08000025,411500,292500,6,2,19.79605,0,1.361431,0,0.056272,0.878529,1.383264,0.881888,2.730055,0.005507,2.728145,0.542491,2.103824,0,0.064912,0.019047,0.491037,0.030502,1.713462,1.293139,3.512542
E08000025,412500,292500,6,2,18.7051,0,1.278759,0,0.057694,0.47859,1.357554,0.596897,2.63232,0.005864,2.659025,0.301773,2.09664,0,0.086621,0,0.525959,0.020414,1.769229,1.325217,3.512542
E08000025,413500,292500,6,2,18.40782,0,1.217866,0,0.056965,0,1.385695,0.613458,2.419667,0.005615,3.010401,0.09538,2.04533,0,0.101152,0.009881,0.54409,0.008616,1.962545,1.418615,3.512542
E08000025,414500,292500,6,2,18.8371,0,1.246084,0,0.058571,0.36669,1.232686,0.648653,2.298908,0.004183,2.784505,0.25022,1.843947,0,0.142642,0.153419,0.552974,0.615494,1.807289,1.318295,3.512542
