"Birmingham"

"Estimated Background Air Pollution Maps (base year 2021), downloaded from https://uk-air.defra.gov.uk/data/laqm-background-home.  Total annual mean concentrations based on 1 km x 1 km grid squares are provided. For further information please refer to the LAQM Support Helpdesk at https://laqm.defra.gov.uk/helpdesk/laqm-helpdesk.html "

Concentrations are as ug.m-3 gravimetric PM2.5
Local_Auth_Code,x,y,geo_area,EU_zone_agglom_01,Total_PM2.5_25,Motorway_in_25,Motorway_out_25,Trunk_A_Rd_in_25,Trunk_A_Rd_out_25,Primary_A_Rd_in_25,Primary_A_Rd_out_25,Minor_Rd+Cold_Start_in_25,Minor_Rd+Cold_Start_out_25,Brake_tyre_in_25,Brake_tyre_out_25,Road_Abrasion_in_25,Road_Abrasion_out_25,Industry_in_25,Industry_out_25,Domestic_in_25,Domestic_out_25,Rail_in_25,Rail_out_25,Other_in_25,Other_out_25,PM_secondary_25,Residual+Salt_25,Point_Sources_25
E08000025,408500,293500,6,2,8.499167,0,0.015846,0,5.55e-4,0.003061,0.012655,0.009488,0.030495,0.066255,0.286888,0.021594,0.120537,0.086762,0.935281,0.305189,0.758794,0,0.009201,0.022504,0.263065,4.169239,1.177265,0.204493
E08000025,409500,293500,6,2,8.25279,0,0.013671,0,5.67e-4,0.001219,0.012718,0.009687,0.030048,0.058137,0.275902,0.018904,0.113524,0.079062,0.903891,0.20424,0.751923,0,0.009509,0.017622,0.245091,4.169239,1.148347,0.189492
E08000025,410500,293500,6,2,8.187706,0,0.012224,0,5.77e-4,0.002817,0.012399,0.008718,0.030394,0.061662,0.270448,0.02001,0.109547,0.078032,0.86423,0.238445,0.71759,0,0.009986,0.015526,0.232335,4.184412,1.132608,0.185745
E08000025,411500,293500,6,2,8.059436,0,0.01125,0,5.84e-4,0.004814,0.012607,0.011468,0.029252,0.081382,0.261852,0.026599,0.105329,0.077857,0.828732,0.167038,0.679225,6.75e-4,0.010427,0.014886,0.221968,4.184412,1.136787,0.192295
E08000025,412500,293500,6,35,7.727608,0,0.010765,0,5.94e-4,0,0.012475,0.006595,0.028499,0.036482,0.255503,0.011859,0.102624,0.037067,0.797262,0.055547,0.623793,0,0.011197,0.005923,0.219286,4.184412,1.127711,0.200014
E08000025,413500,293500,6,2,7.59818,0,0.010111,0,5.81e-4,0,0.010663,0.009905,0.025517,0.055505,0.229959,0.018047,0.093367,0.046759,0.744759,0.075756,0.532988,0.002796,0.010551,0.008142,0.205151,4.184412,1.138389,0.19482
E08000025,414500,293500,6,2,7.508284,0,0.010228,0,6.01e-4,0,0.01029,0.007055,0.024128,0.03499,0.222332,0.011356,0.091557,0.043439,0.712652,0.078416,0.483789,0,0.011775,0.011648,0.203666,4.184412,1.182146,0.183806
E08000025,415500,293500,6,35,7.329222,0,0.010447,0,6.19e-4,0.003619,0.010053,1.25e-4,0.022082,0.018427,0.21078,0.008913,0.088586,0.0018600000000000001,0.651351,0.003234,0.446336,0,0.011619,4.35e-4,0.199771,4.230074,1.236703,0.174189
E08000025,416500,293500,6,35,7.176518,0,0.011336,0,6.58e-4,0,0.009782,3.8e-4,0.019143,0.002182,0.19774,0.001004,0.0865,0.002686,0.591895,0.003785,0.4008,0,0.011915,6.04e-4,0.190756,4.230074,1.24685,0.168432
E08000025,403500,292500,6,35,7.902722,0,0.019651,0,3.91e-4,0,0.013187,4.6e-5,0.025605,1.86e-4,0.276748,8.4e-5,0.12336,0.003146,0.932253,0.003096,0.702291,0.001269,0.008239,0.001446,0.265931,4.151635,1.200115,0.174041
E08000025,404500,292500,6,2,8.167535,0,0.015345,0,4.38e-4,0,0.012828,0.010927,0.027366,0.056939,0.268207,0.018464,0.113664,0.072405,0.934006,0.137977,0.71939,0.002088,0.008426,0.031628,0.263935,4.151635,1.152403,0.169462
E08000025,405500,292500,6,2,8.426586,0,0.015548,0,4.62e-4,0.0021,0.012931,0.010533,0.029402,0.069176,0.280183,0.022556,0.117861,0.113518,0.938936,0.234543,0.739552,0.001159,0.009355,0.073463,0.26083,4.169239,1.157779,0.167466
E08000025,406500,292500,6,2,8.48545,0.015581,0.016016,0,4.81e-4,0.00278,0.014421,0.005076,0.030352,0.104265,0.29505,0.058901,0.123542,0.05322,0.942333,0.132158,0.7632,0,0.009608,0.014946,0.280473,4.169239,1.31052,0.143284
E08000025,407500,292500,6,2,8.930645,0.025567,0.016106,0,4.98e-4,0.005714,0.014454,0.007274,0.030329,0.170327,0.294458,0.096335,0.123474,0.27834,0.89462,0.094046,0.750981,0,0.009705,0.108037,0.279901,4.169239,1.333738,0.2275
E08000025,408500,292500,6,2,8.487967,0,0.020714,0,4.95e-4,0.001645,0.014425,0.006719,0.030549,0.046431,0.313766,0.015118,0.137049,0.068175,0.974197,0.167952,0.738911,0,0.010014,0.014009,0.294416,4.169239,1.23018,0.233965
E08000025,409500,292500,6,2,8.376636,0,0.017162,0,5.07e-4,0,0.013658,0.009812,0.030496,0.051615,0.29656,0.016756,0.125769,0.072834,0.935357,0.231689,0.745049,0,0.01048,0.015243,0.263917,4.169239,1.176108,0.19438
E08000025,410500,292500,6,2,8.397465,0,0.014283,0,5.19e-4,0,0.01429,0.013576,0.030589,0.074904,0.288558,0.024345,0.118738,0.087516,0.894476,0.299057,0.731861,2.6e-4,0.011087,0.022535,0.247419,4.184412,1.145452,0.193586
E08000025,411500,292500,6,2,8.201468,0,0.012856,0,5.31e-4,0.008297,0.013074,0.01016,0.030419,0.091946,0.277125,0.030366,0.112826,0.076544,0.861608,0.157916,0.710429,5.39e-4,0.011487,0.017964,0.236974,4.184412,1.155199,0.200794
E08000025,412500,292500,6,2,7.981628,0,0.012153,0,5.44e-4,0.004506,0.012839,0.006874,0.029334,0.062185,0.267939,0.020328,0.108922,0.064476,0.823391,0.125041,0.638336,0,0.012238,0.013064,0.236948,4.184412,1.143359,0.214735
E08000025,413500,292500,6,2,7.781157,0,0.011662,0,5.38e-4,0,0.013115,0.006354,0.026919,0.036306,0.258461,0.011802,0.10526,0.03267,0.832861,0.060763,0.56559,1.81e-4,0.012504,0.005143,0.247492,4.184412,1.145542,0.223583
E08000025,414500,292500,6,2,7.783466,0,0.011966,0,5.53e-4,0.003522,0.011639,0.007275,0.025418,0.05785,0.244493,0.019009,0.101594,0.064963,0.764647,0.07841,0.513707,0.002804,0.012783,0.062945,0.228418,4.184412,1.18727,0.199789
E08000025,415500,292500,6,2,7.657894,0,0.012489,0,5.67e-4,0.008638,0.009996,0.006279,0.022942,0.079326,0.223782,0.028235,0.095924,0.038228,0.673956,0.046702,0.472438,9.6e-5,0.014223,0.070963,0.214453,4.230074,1.225347,0.183236
E08000025,416500,292500,6,35,7.495095,0,0.013734,0,6.02e-4,0.003737,0.009521,0.004323,0.020291,0.045704,0.211311,0.01569,0.094586,0.023545,0.614335,0.022571,0.438767,0,0.015533,0.072815,0.199841,4.230074,1.282387,0.175729
E08000025,417500,292500,6,35,7.342041,0,0.018987,0,6.14e-4,0.002641,0.00857,0.001204,0.01749,0.018009,0.21308,0.008136,0.104255,0.014281,0.54237,0.100905,0.392441,0,0.015523,0.020037,0.171562,4.230074,1.288772,0.173087
E08000025,403500,291500,6,35,7.960853,0,0.016135,0,3.36e-4,0,0.01445,4.44e-4,0.026468,0.002493,0.274496,9.07e-4,0.116751,0.006938,0.976321,0.011987,0.713214,0,0.009064,0.002594,0.284901,4.151635,1.179377,0.17234
E08000025,404500,291500,6,2,8.169349,0,0.012711,0,3.77e-4,0,0.013865,0.009819,0.027904,0.05123,0.265843,0.016645,0.10858,0.074464,0.983234,0.101735,0.740422,0,0.009355,0.015559,0.276933,4.151635,1.137939,0.171097
E08000025,405500,291500,6,2,8.143646,0,0.01253,0,3.97e-4,0,0.014087,0.005819,0.030449,0.0289,0.280041,0.009383,0.112948,0.048211,0.970726,0.094689,0.758458,0.001967,0.009724,0.012204,0.278607,4.169239,1.131671,0.173593
E08000025,406500,291500,6,2,8.332662,0,0.014377,0,4.14e-4,0.007321,0.016144,0.005735,0.03085,0.06597,0.301043,0.021867,0.122869,0.047697,0.957407,0.095877,0.745051,8.81e-4,0.010184,0.054858,0.280503,4.169239,1.201104,0.18327
E08000025,407500,291500,6,2,8.496879,0.009676,0.016478,0,4.33e-4,0.004869,0.016809,0.00676,0.031213,0.089075,0.313548,0.044466,0.130311,0.036448,0.96662,0.034673,0.737959,0,0.010709,0.121459,0.287826,4.169239,1.33813,0.130177
E08000025,408500,291500,6,2,8.826476,0.034661,0.016478,0,4.34e-4,0.004238,0.015221,0.006964,0.031174,0.19443,0.302328,0.118855,0.126345,0.070003,0.975079,0.120373,0.720574,0,0.011353,0.048675,0.318678,4.169239,1.308328,0.233049
E08000025,409500,291500,6,2,8.622743,0,0.025319,0,4.47e-4,0.003526,0.014787,0.009878,0.030737,0.070905,0.332405,0.023277,0.150114,0.08038,0.96265,0.236407,0.719484,0,0.012143,0.019355,0.293589,4.169239,1.265432,0.20267
E08000025,410500,291500,6,2,8.591451,0,0.018792,0,4.61e-4,0.010092,0.01463,0.011768,0.030832,0.109261,0.309719,0.036035,0.132673,0.101882,0.929665,0.234236,0.72684,7.74e-4,0.012842,0.024411,0.270367,4.184412,1.213321,0.218439
E08000025,411500,291500,6,2,8.301964,0,0.015019,0,4.73e-4,6.76e-4,0.016151,0.009526,0.03053,0.052348,0.302456,0.017034,0.124726,0.064381,0.888082,0.208566,0.697885,0,0.013636,0.015539,0.263832,4.184412,1.162945,0.233747
E08000025,412500,291500,6,2,8.246356,0,0.014658,0,4.87e-4,7.53e-4,0.014974,0.011049,0.0291,0.063468,0.28933,0.020654,0.120143,0.071886,0.875943,0.158384,0.640219,0,0.014999,0.023552,0.275676,4.184412,1.168232,0.268437
E08000025,413500,291500,6,2,8.950819,0,0.016218,0,5.03e-4,0.01335,0.013856,0.008435,0.028169,0.127879,0.287157,0.042296,0.122257,0.666849,0.777929,0.102192,0.598097,0,0.016972,0.137272,0.2938,4.184412,1.247727,0.265451
E08000025,414500,291500,6,2,8.111038,0,0.017381,0,5.23e-4,0.002935,0.01366,0.011108,0.02639,0.079976,0.282373,0.026165,0.123029,0.077095,0.79731,0.146799,0.550185,0,0.01817,0.03394,0.283882,4.184412,1.21678,0.218926
E08000025,415500,291500,6,2,7.695008,0,0.018575,0,5.19e-4,0,0.011059,0.004015,0.024618,0.020477,0.262705,0.00668,0.11877,0.026972,0.683325,0.028954,0.512912,0.004676,0.017293,0.043669,0.224611,4.230074,1.258257,0.196848
E08000025,416500,291500,6,2,7.575372,0,0.019942,0,5.5e-4,0,0.009384,0.001582,0.022155,0.006539,0.244819,0.00272,0.115499,0.02329,0.625126,0.019786,0.490057,0.015047,0.014931,0.063714,0.196861,4.230074,1.288617,0.184674
